id	message
AUTH_KEY_DUPLICATED	The same authorization key (session file) was used in more than one place simultaneously. You must delete your session file and log in again with your phone number or bot token
CHANNEL_PRIVATE	Channel/supergroup adalah private
FILEREF_UPGRADE_NEEDED	The file reference has expired and you must use a refreshed one by obtaining the original media message
FRESH_CHANGE_ADMINS_FORBIDDEN	Elu cuma admin biasa, lu tidak bisa memodifikasi admin lain
FRESH_CHANGE_PHONE_FORBIDDEN	You can't change your phone number because your session was logged-in recently
FRESH_RESET_AUTHORISATION_FORBIDDEN	You can't terminate other authorized sessions because the current was logged-in recently
PHONE_NUMBER_INVALID	Nomor telephon invalid
PHONE_PASSWORD_FLOOD	Elu sudah mencoba login beberapa kali
STICKERSET_INVALID	The sticker set is invalid
STICKERSET_OWNER_ANONYMOUS	This sticker set can't be used as the group's sticker set because it was created by one of its anonymous admins
USERPIC_UPLOAD_REQUIRED	You must have a profile picture to publish your geolocation
USER_RESTRICTED	Elu limit/restricted. Lu tidak bisa perfom ini
